REGION,TECHNOLOGY,VALUE
REGION1,EEHYDMPH0,31.536
REGION1,EEHYDMPH1,31.536
REGION1,EEHYDMPH2,31.536
REGION1,EEHYDMPH3,31.536
REGION1,EEHYDSPH2,31.536
REGION1,EEHYDSPH3,31.536
REGION1,EENG00I00,1
REGION1,EENGCCPH2,31.536
REGION1,EENGCHPH3,31.536
REGION1,EENGCHPN3,31.536
REGION1,EENGCSPN2,31.536
REGION1,EENGFCFH1,31.536
REGION1,EENGGCPH2,31.536
REGION1,EENGGCPN2,31.536
REGION1,EENGHPFH1,31.536
REGION1,EENGHPPH2,31.536
REGION1,EENGSTPH2,31.536
REGION1,EEOCWVPH1,31.536
REGION1,EEOI00I00,1
REGION1,EEOI00X00,1
REGION1,EEOIRFPH0,1
REGION1,EESODIFH1,31.536
REGION1,EESOUTPH2,31.536
REGION1,EEWIOFPN3,31.536
REGION1,EEWIONPH3,31.536
REGION1,EEWS00X00,1
REGION1,EEWSCHPH2,31.536
REGION1,EEWSSTPH1,31.536
REGION1,ESBF00I00,1
REGION1,ESBF00X00,1
REGION1,ESBFHPFH1,31.536
REGION1,ESBM00I00,1
REGION1,ESBM00X00,1
REGION1,ESBMCCPH1,31.536
REGION1,ESBMCHPH3,31.536
REGION1,ESBMCSPN2,31.536
REGION1,ESBMSTPH3,31.536
REGION1,ESCO00I00,1
REGION1,ESCO00X00,1
REGION1,ESCOCHPH3,31.536
REGION1,ESCOCSPN2,31.536
REGION1,ESCOSTPH1,31.536
REGION1,ESCOSTPH3,31.536
REGION1,ESEL00TD0,1
REGION1,ESELFRPH1,31.536
REGION1,ESELPTPH1,31.536
REGION1,ESGO00X00,1
REGION1,ESGOCVPH2,31.536
REGION1,ESHF00I00,1
REGION1,ESHFCCPH2,31.536
REGION1,ESHFCHPH3,31.536
REGION1,ESHFGCPH3,31.536
REGION1,ESHFGCPN3,31.536
REGION1,ESHFHPFH1,31.536
REGION1,ESHFHPPH2,31.536
REGION1,ESHFSTPH2,31.536
REGION1,ESHFSTPH3,31.536
REGION1,ESHYDMPH0,31.536
REGION1,ESHYDMPH1,31.536
REGION1,ESHYDMPH2,31.536
REGION1,ESHYDMPH3,31.536
REGION1,ESHYDSPH2,31.536
REGION1,ESHYDSPH3,31.536
REGION1,ESNG00I00,1
REGION1,ESNG00X00,1
REGION1,ESNGCCPH2,31.536
REGION1,ESNGCHPH3,31.536
REGION1,ESNGCHPN3,31.536
REGION1,ESNGCSPN2,31.536
REGION1,ESNGFCFH1,31.536
REGION1,ESNGGCPH2,31.536
REGION1,ESNGGCPN2,31.536
REGION1,ESNGHPFH1,31.536
REGION1,ESNGHPPH2,31.536
REGION1,ESNGSTPH2,31.536
REGION1,ESNUG2PH3,31.536
REGION1,ESNUG3PN3,31.536
REGION1,ESOCWVPH1,31.536
REGION1,ESOI00I00,1
REGION1,ESOI00X00,1
REGION1,ESOIRFPH0,1
REGION1,ESSODIFH1,31.536
REGION1,ESSOUTPH2,31.536
REGION1,ESUR00I00,1
REGION1,ESWIOFPN3,31.536
REGION1,ESWIONPH3,31.536
REGION1,ESWIONPN3,31.536
REGION1,ESWS00X00,1
REGION1,ESWSCHPH2,31.536
REGION1,ESWSSTPH1,31.536
REGION1,FIBF00I00,1
REGION1,FIBF00X00,1
REGION1,FIBFHPFH1,31.536
REGION1,FIBM00I00,1
REGION1,FIBM00X00,1
REGION1,FIBMCCPH1,31.536
REGION1,FIBMCHPH3,31.536
REGION1,FIBMCSPN2,31.536
REGION1,FIBMSTPH3,31.536
REGION1,FICO00I00,1
REGION1,FICO00X00,1
REGION1,FICOCHPH3,31.536
REGION1,FICOCSPN2,31.536
REGION1,FICOSTPH1,31.536
REGION1,FICOSTPH3,31.536
REGION1,FIEL00TD0,1
REGION1,FIELNOPH1,31.536
REGION1,FIELSEPH1,31.536
REGION1,FIGO00X00,1
REGION1,FIGOCVPH2,31.536
REGION1,FIHF00I00,1
REGION1,FIHFCCPH2,31.536
